City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
286,Suntar,RU,62.1444,117.6319,25.11,95,96,4.63,overcast clouds
287,Lorengau,PG,-2.0226,147.2712,82.74,69,86,8.75,overcast clouds
288,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
289,Quatre Cocos,MU,-20.2078,57.7625,71.71,67,21,15.3,few clouds
290,Samarai,PG,-10.6167,150.6667,81.52,82,66,10.11,broken clouds
291,Sangin,AF,32.0728,64.8359,64.99,10,0,2.62,clear sky
292,Santa Isabel,BR,-23.3156,-46.2214,69.51,90,89,8.08,overcast clouds
293,Shimoda,JP,34.6667,138.95,68.34,86,82,13.98,broken clouds
294,Marondera,ZW,-18.1853,31.5519,60.17,34,61,5.44,broken clouds
295,Sol-Iletsk,RU,51.1631,54.9918,43.39,77,17,6.49,few clouds
296,Pangkalanbuun,ID,-2.6833,111.6167,73.9,95,100,0.49,overcast clouds
297,Malpe,IN,13.35,74.7167,78.1,92,99,3.67,overcast clouds
298,Douala,CM,4.0483,9.7043,73.44,94,100,2.39,overcast clouds
299,Touros,BR,-5.1989,-35.4608,78.04,75,0,17.07,clear sky
300,Santa Rosa,PH,14.3122,121.1114,82.38,88,100,4.9,overcast clouds
301,Belaya Gora,RU,68.5333,146.4167,10.4,91,100,4.32,overcast clouds
302,Ponta Do Sol,PT,32.6667,-17.1,73.0,68,89,6.53,overcast clouds
303,Lulindi,TZ,-10.8167,39.1333,64.42,93,9,5.68,clear sky
304,Bandarbeyla,SO,9.4942,50.8122,76.91,90,41,11.88,scattered clouds
305,Longyearbyen,SJ,78.2186,15.6401,18.39,88,100,1.36,overcast clouds
306,Koflach,AT,47.0667,15.0833,54.77,94,93,1.68,overcast clouds
307,Esperance,AU,-33.8667,121.9,50.43,86,0,8.08,clear sky
308,Cabo San Lucas,MX,22.8909,-109.9124,89.62,54,0,14.97,clear sky
309,Uddevalla,SE,58.3478,11.9424,51.22,88,100,5.12,overcast clouds
310,Goderich,CA,43.7501,-81.7165,55.9,35,96,17.27,overcast clouds
311,Biu,NG,10.6129,12.1946,73.29,65,87,2.89,overcast clouds
312,Ponta Delgada,PT,37.7333,-25.6667,75.51,88,75,13.8,light rain
313,Zaysan,KZ,47.4667,84.8667,47.44,25,11,3.8,few clouds
314,Kaitangata,NZ,-46.2817,169.8464,52.41,66,4,3.78,clear sky
315,Nanyang,CN,32.9947,112.5328,62.31,60,99,2.33,overcast clouds
316,Bastrop,US,32.7562,-91.8724,84.69,25,0,8.05,clear sky
317,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,28,10.54,scattered clouds
318,Sambava,MG,-14.2667,50.1667,68.88,84,37,12.06,scattered clouds
319,Abong Mbang,CM,3.9833,13.1833,67.32,100,100,3.27,overcast clouds
320,Iraucuba,BR,-3.7461,-39.7833,84.54,50,71,7.78,broken clouds
321,Morden,CA,49.1919,-98.1014,43.09,70,100,10.36,overcast clouds
322,Asnaes,DK,55.8123,11.5013,53.06,97,89,7.56,overcast clouds
323,Guerrero Negro,MX,27.9769,-114.0611,72.18,65,92,13.27,overcast clouds
324,Bloomfield,US,40.8068,-74.1854,70.38,41,0,5.75,clear sky
325,Novo Aripuana,BR,-5.1206,-60.3797,86.49,56,99,1.52,overcast clouds
326,Anadyr,RU,64.75,177.4833,25.3,85,0,2.24,clear sky
327,Yulara,AU,-25.2406,130.9889,61.52,32,99,15.52,overcast clouds
328,Bogalusa,US,30.791,-89.8487,84.99,21,0,4.61,clear sky
329,Ziarat,PK,30.3823,67.7282,50.52,15,0,5.14,clear sky
330,Zeya,RU,53.75,127.2667,42.35,73,100,9.6,overcast clouds
331,Luena,AO,-11.7833,19.9167,68.05,24,8,2.28,clear sky
332,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,13.8,scattered clouds
333,Camocim,BR,-2.9022,-40.8411,80.91,71,62,18.5,broken clouds
334,Hervey Bay,AU,-25.2986,152.8535,71.02,92,98,8.99,overcast clouds
335,Nome,US,64.5011,-165.4064,33.87,61,0,10.36,clear sky
336,Kaeo,NZ,-35.1,173.7833,58.32,91,25,12.1,scattered clouds
337,Ariquemes,BR,-9.9133,-63.0408,86.5,53,97,2.66,overcast clouds
338,Kangaatsiaq,GL,68.3065,-53.4641,27.79,75,100,9.64,overcast clouds
339,Balabac,PH,7.9868,117.0645,81.07,79,98,13.22,overcast clouds
340,Shiyan,CN,32.6475,110.7781,62.62,74,100,3.76,overcast clouds
341,Ancud,CL,-41.8697,-73.8203,53.83,68,36,3.67,scattered clouds
342,Asau,RO,46.4333,26.4,49.28,93,91,2.73,overcast clouds
343,Pallisa,UG,1.145,33.7094,65.75,90,60,3.78,broken clouds
344,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,21,0,12.66,clear sky
